Date,Start_Hour,End_Hour,Day_of_Year,Day_Name,Month_Name,Season,Production
2025-06-06 00:00:00,16,17,157,Friday,June,Summer,7448
2025-07-15 00:00:00,2,3,196,Tuesday,July,Summer,3144
2022-05-15 00:00:00,15,16,135,Sunday,May,Spring,9252
2024-06-06 00:00:00,16,17,158,Thursday,June,Summer,7935
2020-12-01 00:00:00,6,7,336,Tuesday,December,Winter,7577
2020-02-01 00:00:00,20,21,32,Saturday,February,Winter,10073
2022-12-05 00:00:00,7,8,339,Monday,December,Winter,723
2021-11-02 00:00:00,17,18,306,Tuesday,November,Fall,1723
2024-03-30 00:00:00,15,16,90,Saturday,March,Spring,7864
2020-05-07 00:00:00,14,15,128,Thursday,May,Spring,4403
2024-07-22 00:00:00,4,5,204,Monday,July,Summer,3323
2022-01-23 00:00:00,23,0,23,Sunday,January,Winter,3658
2024-04-16 00:00:00,8,9,107,Tuesday,April,Spring,14410
2021-02-02 00:00:00,17,18,33,Tuesday,February,Winter,9228
2025-04-06 00:00:00,12,13,96,Sunday,April,Spring,8484
2025-10-24 00:00:00,20,21,297,Friday,October,Fall,12993
2024-09-12 00:00:00,19,20,256,Thursday,September,Fall,4668
2021-06-01 00:00:00,20,21,152,Tuesday,June,Summer,3220
2022-06-10 00:00:00,4,5,161,Friday,June,Summer,2337
2024-05-12 00:00:00,4,5,133,Sunday,May,Spring,3727
2025-11-01 00:00:00,1,2,305,Saturday,November,Fall,13837
2022-05-29 00:00:00,9,10,149,Sunday,May,Spring,7338
2023-08-30 00:00:00,18,19,242,Wednesday,August,Summer,7641
2023-04-29 00:00:00,20,21,119,Saturday,April,Spring,2453
2022-05-22 00:00:00,15,16,142,Sunday,May,Spring,5188
2022-08-12 00:00:00,12,13,224,Friday,August,Summer,8910
2020-08-31 00:00:00,13,14,244,Monday,August,Summer,4731
2020-09-17 00:00:00,1,2,261,Thursday,September,Fall,5365
2023-05-13 00:00:00,10,11,133,Saturday,May,Spring,7155
2021-10-16 00:00:00,15,16,289,Saturday,October,Fall,4121
2022-01-04 00:00:00,8,9,4,Tuesday,January,Winter,6398
2024-11-10 00:00:00,22,23,315,Sunday,November,Fall,2532
2022-04-25 00:00:00,21,22,115,Monday,April,Spring,2493
2021-05-14 00:00:00,11,12,134,Friday,May,Spring,7152
2020-10-14 00:00:00,8,9,288,Wednesday,October,Fall,3082
2021-09-29 00:00:00,13,14,272,Wednesday,September,Fall,11398
2020-02-02 00:00:00,2,3,33,Sunday,February,Winter,6412
2021-07-10 00:00:00,19,20,191,Saturday,July,Summer,3038
2022-06-09 00:00:00,0,1,160,Thursday,June,Summer,6305
2021-12-04 00:00:00,2,3,338,Saturday,December,Winter,8913
2020-08-05 00:00:00,4,5,218,Wednesday,August,Summer,1018
2020-01-22 00:00:00,16,17,22,Wednesday,January,Winter,3930
2024-02-21 00:00:00,0,1,52,Wednesday,February,Winter,3618
2021-01-01 00:00:00,12,13,1,Friday,January,Winter,1994
2021-07-20 00:00:00,22,23,201,Tuesday,July,Summer,3054
2025-07-09 00:00:00,11,12,190,Wednesday,July,Summer,9719
2024-12-08 00:00:00,6,7,343,Sunday,December,Winter,16946
2024-10-21 00:00:00,20,21,295,Monday,October,Fall,4621
2025-07-03 00:00:00,13,14,184,Thursday,July,Summer,9835
2022-06-03 00:00:00,8,9,154,Friday,June,Summer,3026
2022-06-15 00:00:00,13,14,166,Wednesday,June,Summer,6208
2022-03-18 00:00:00,5,6,77,Friday,March,Spring,8159
2021-03-09 00:00:00,8,9,68,Tuesday,March,Spring,2948
2022-02-17 00:00:00,19,20,48,Thursday,February,Winter,8507
2021-11-11 00:00:00,5,6,315,Thursday,November,Fall,982
2020-06-06 00:00:00,1,2,158,Saturday,June,Summer,5766
2020-10-24 00:00:00,8,9,298,Saturday,October,Fall,8585
2023-09-18 00:00:00,9,10,261,Monday,September,Fall,8347
2025-11-24 00:00:00,7,8,328,Monday,November,Fall,8309
2021-09-09 00:00:00,1,2,252,Thursday,September,Fall,2685
2025-09-25 00:00:00,18,19,268,Thursday,September,Fall,3302
2021-05-12 00:00:00,17,18,132,Wednesday,May,Spring,4435
2022-06-02 00:00:00,9,10,153,Thursday,June,Summer,4378
2025-01-14 00:00:00,15,16,14,Tuesday,January,Winter,4353
2023-03-22 00:00:00,14,15,81,Wednesday,March,Spring,15456
2024-07-07 00:00:00,19,20,189,Sunday,July,Summer,4892
2021-01-28 00:00:00,4,5,28,Thursday,January,Winter,9675
2025-02-12 00:00:00,1,2,43,Wednesday,February,Winter,2685
2021-08-25 00:00:00,14,15,237,Wednesday,August,Summer,9454
2023-07-17 00:00:00,6,7,198,Monday,July,Summer,2269
2025-06-25 00:00:00,13,14,176,Wednesday,June,Summer,9397
2021-03-03 00:00:00,9,10,62,Wednesday,March,Spring,1845
2021-06-22 00:00:00,14,15,173,Tuesday,June,Summer,6749
2025-03-19 00:00:00,13,14,78,Wednesday,March,Spring,13786
2020-05-31 00:00:00,19,20,152,Sunday,May,Spring,5250
2020-02-21 00:00:00,16,17,52,Friday,February,Winter,7148
2023-06-04 00:00:00,8,9,155,Sunday,June,Summer,4706
2025-03-03 00:00:00,18,19,62,Monday,March,Spring,2282
2025-08-17 00:00:00,12,13,229,Sunday,August,Summer,11455
2020-01-03 00:00:00,21,22,3,Friday,January,Winter,4570
2023-05-19 00:00:00,18,19,139,Friday,May,Spring,8236
2021-04-03 00:00:00,5,6,93,Saturday,April,Spring,7508
2025-07-16 00:00:00,12,13,197,Wednesday,July,Summer,16160
2024-06-08 00:00:00,5,6,160,Saturday,June,Summer,2141
2022-09-29 00:00:00,15,16,272,Thursday,September,Fall,3999
2024-09-19 00:00:00,8,9,263,Thursday,September,Fall,8855
2021-05-23 00:00:00,20,21,143,Sunday,May,Spring,6519
2024-11-19 00:00:00,2,3,324,Tuesday,November,Fall,16568
2025-11-02 00:00:00,12,13,306,Sunday,November,Fall,17124
2020-03-06 00:00:00,19,20,66,Friday,March,Spring,4409
2025-09-24 00:00:00,14,15,267,Wednesday,September,Fall,10617
2021-03-06 00:00:00,0,1,65,Saturday,March,Spring,6907
2024-01-08 00:00:00,1,2,8,Monday,January,Winter,11458
2024-01-29 00:00:00,9,10,29,Monday,January,Winter,8026
2024-06-08 00:00:00,21,22,160,Saturday,June,Summer,2990
2020-09-05 00:00:00,2,3,249,Saturday,September,Fall,2313
2023-08-29 00:00:00,16,17,241,Tuesday,August,Summer,6026
2023-03-31 00:00:00,21,22,90,Friday,March,Spring,17308
2021-08-02 00:00:00,12,13,214,Monday,August,Summer,4915
2021-11-12 00:00:00,19,20,316,Friday,November,Fall,4622
2024-04-07 00:00:00,13,14,98,Sunday,April,Spring,6534
2022-08-23 00:00:00,20,21,235,Tuesday,August,Summer,692
2025-03-31 00:00:00,12,13,90,Monday,March,Spring,12441
2024-12-12 00:00:00,23,0,347,Thursday,December,Winter,3205
2023-10-30 00:00:00,14,15,303,Monday,October,Fall,6382
2025-07-13 00:00:00,23,0,194,Sunday,July,Summer,2819
2020-03-10 00:00:00,16,17,70,Tuesday,March,Spring,12787
2021-01-09 00:00:00,3,4,9,Saturday,January,Winter,2353
2021-04-02 00:00:00,2,3,92,Friday,April,Spring,7071
2022-11-24 00:00:00,21,22,328,Thursday,November,Fall,10233
2025-08-04 00:00:00,4,5,216,Monday,August,Summer,2819
2021-09-24 00:00:00,10,11,267,Friday,September,Fall,3708
2020-11-14 00:00:00,14,15,319,Saturday,November,Fall,9092
2025-02-12 00:00:00,11,12,43,Wednesday,February,Winter,3734
2024-11-18 00:00:00,17,18,323,Monday,November,Fall,7419
2025-08-25 00:00:00,11,12,237,Monday,August,Summer,7160
2025-11-11 00:00:00,13,14,315,Tuesday,November,Fall,13901
2021-09-15 00:00:00,9,10,258,Wednesday,September,Fall,2675
2022-08-21 00:00:00,7,8,233,Sunday,August,Summer,794
2025-11-14 00:00:00,3,4,318,Friday,November,Fall,10916
2022-04-30 00:00:00,10,11,120,Saturday,April,Spring,6810
2022-10-09 00:00:00,3,4,282,Sunday,October,Fall,4965
2024-04-26 00:00:00,0,1,117,Friday,April,Spring,2294
2022-03-12 00:00:00,15,16,71,Saturday,March,Spring,9696
2023-02-21 00:00:00,12,13,52,Tuesday,February,Winter,4252
2023-03-29 00:00:00,11,12,88,Wednesday,March,Spring,8491
2021-04-27 00:00:00,22,23,117,Tuesday,April,Spring,2003
2020-02-17 00:00:00,4,5,48,Monday,February,Winter,6453
2024-01-19 00:00:00,23,0,19,Friday,January,Winter,3521
2025-03-31 00:00:00,7,8,90,Monday,March,Spring,5090
2021-11-02 00:00:00,12,13,306,Tuesday,November,Fall,6192
2022-11-11 00:00:00,7,8,315,Friday,November,Fall,3461
2021-10-26 00:00:00,12,13,299,Tuesday,October,Fall,5605
2022-09-22 00:00:00,19,20,265,Thursday,September,Fall,399
2025-05-11 00:00:00,13,14,131,Sunday,May,Spring,4563
2022-01-28 00:00:00,1,2,28,Friday,January,Winter,2439
2022-11-20 00:00:00,10,11,324,Sunday,November,Fall,9228
2022-07-12 00:00:00,1,2,193,Tuesday,July,Summer,4082
2024-11-24 00:00:00,12,13,329,Sunday,November,Fall,22929
2020-02-01 00:00:00,4,5,32,Saturday,February,Winter,9131
2024-11-06 00:00:00,5,6,311,Wednesday,November,Fall,189
2021-10-28 00:00:00,9,10,301,Thursday,October,Fall,6796
2020-10-22 00:00:00,12,13,296,Thursday,October,Fall,5144
2022-03-10 00:00:00,0,1,69,Thursday,March,Spring,6808
2021-11-03 00:00:00,5,6,307,Wednesday,November,Fall,3819
2024-12-08 00:00:00,2,3,343,Sunday,December,Winter,16670
2020-06-03 00:00:00,5,6,155,Wednesday,June,Summer,631
2020-06-27 00:00:00,11,12,179,Saturday,June,Summer,9506
2021-06-04 00:00:00,3,4,155,Friday,June,Summer,1527
2020-11-17 00:00:00,22,23,322,Tuesday,November,Fall,2667
2021-10-21 00:00:00,8,9,294,Thursday,October,Fall,11321
2021-08-19 00:00:00,23,0,231,Thursday,August,Summer,940
2020-06-04 00:00:00,23,0,156,Thursday,June,Summer,2918
2023-08-14 00:00:00,11,12,226,Monday,August,Summer,7955
2024-05-13 00:00:00,3,4,134,Monday,May,Spring,2321
2024-08-11 00:00:00,16,17,224,Sunday,August,Summer,5870
2021-05-04 00:00:00,7,8,124,Tuesday,May,Spring,13322
2025-04-26 00:00:00,11,12,116,Saturday,April,Spring,4018
2020-01-21 00:00:00,18,19,21,Tuesday,January,Winter,3303
2021-11-02 00:00:00,19,20,306,Tuesday,November,Fall,2311
2023-07-29 00:00:00,1,2,210,Saturday,July,Summer,3618
2023-05-21 00:00:00,8,9,141,Sunday,May,Spring,4686
2025-02-07 00:00:00,18,19,38,Friday,February,Winter,9119
2022-07-25 00:00:00,11,12,206,Monday,July,Summer,10186
2024-10-16 00:00:00,16,17,290,Wednesday,October,Fall,11196
2022-01-11 00:00:00,18,19,11,Tuesday,January,Winter,2621
2024-04-19 00:00:00,2,3,110,Friday,April,Spring,6475
2024-07-28 00:00:00,23,0,210,Sunday,July,Summer,6281
2025-04-05 00:00:00,18,19,95,Saturday,April,Spring,8043
2022-01-04 00:00:00,20,21,4,Tuesday,January,Winter,9372
2023-07-06 00:00:00,4,5,187,Thursday,July,Summer,1028
2024-03-22 00:00:00,23,0,82,Friday,March,Spring,7326
2024-01-16 00:00:00,9,10,16,Tuesday,January,Winter,2207
2024-05-08 00:00:00,20,21,129,Wednesday,May,Spring,3372
2025-01-26 00:00:00,19,20,26,Sunday,January,Winter,19633
2020-07-20 00:00:00,7,8,202,Monday,July,Summer,3155
2024-03-02 00:00:00,1,2,62,Saturday,March,Spring,11147
2021-05-17 00:00:00,13,14,137,Monday,May,Spring,15419
2024-09-22 00:00:00,4,5,266,Sunday,September,Fall,3577
2021-07-18 00:00:00,3,4,199,Sunday,July,Summer,5140
2020-03-20 00:00:00,15,16,80,Friday,March,Spring,7700
2025-04-14 00:00:00,23,0,104,Monday,April,Spring,5469
2020-02-19 00:00:00,7,8,50,Wednesday,February,Winter,7659
2021-11-21 00:00:00,4,5,325,Sunday,November,Fall,556
2023-10-25 00:00:00,10,11,298,Wednesday,October,Fall,10951
2023-07-16 00:00:00,19,20,197,Sunday,July,Summer,5612
2020-07-22 00:00:00,12,13,204,Wednesday,July,Summer,3790
2024-03-08 00:00:00,1,2,68,Friday,March,Spring,10506
2020-12-10 00:00:00,14,15,345,Thursday,December,Winter,3341
2022-06-19 00:00:00,8,9,170,Sunday,June,Summer,7096
2024-10-23 00:00:00,20,21,297,Wednesday,October,Fall,5480
2024-06-11 00:00:00,23,0,163,Tuesday,June,Summer,2863
2021-09-09 00:00:00,5,6,252,Thursday,September,Fall,1689
2020-06-11 00:00:00,15,16,163,Thursday,June,Summer,5051
2024-06-07 00:00:00,4,5,159,Friday,June,Summer,1976
2024-03-26 00:00:00,23,0,86,Tuesday,March,Spring,8226
2022-02-09 00:00:00,9,10,40,Wednesday,February,Winter,4407
2025-02-15 00:00:00,20,21,46,Saturday,February,Winter,5334
2021-04-28 00:00:00,6,7,118,Wednesday,April,Spring,857
2020-08-27 00:00:00,11,12,240,Thursday,August,Summer,4553
2024-10-01 00:00:00,7,8,275,Tuesday,October,Fall,6398
2021-05-21 00:00:00,0,1,141,Friday,May,Spring,9704
2021-12-05 00:00:00,22,23,339,Sunday,December,Winter,4707
2022-08-01 00:00:00,14,15,213,Monday,August,Summer,6729
2022-09-18 00:00:00,23,0,261,Sunday,September,Fall,4648
2025-01-14 00:00:00,4,5,14,Tuesday,January,Winter,2738
2025-01-04 00:00:00,9,10,4,Saturday,January,Winter,4819
2020-08-23 00:00:00,20,21,236,Sunday,August,Summer,3074
2022-12-11 00:00:00,11,12,345,Sunday,December,Winter,4059
2024-07-05 00:00:00,2,3,187,Friday,July,Summer,3591
2021-07-12 00:00:00,10,11,193,Monday,July,Summer,3055
2022-12-04 00:00:00,18,19,338,Sunday,December,Winter,1267
2023-09-29 00:00:00,15,16,272,Friday,September,Fall,10069
2024-10-06 00:00:00,10,11,280,Sunday,October,Fall,7982
2023-02-27 00:00:00,20,21,58,Monday,February,Winter,11622
2021-06-06 00:00:00,7,8,157,Sunday,June,Summer,2047
2022-04-06 00:00:00,17,18,96,Wednesday,April,Spring,13616
2025-01-29 00:00:00,14,15,29,Wednesday,January,Winter,13601
2024-10-30 00:00:00,21,22,304,Wednesday,October,Fall,3374
2024-06-14 00:00:00,18,19,166,Friday,June,Summer,11508
2024-02-05 00:00:00,19,20,36,Monday,February,Winter,7217
2020-11-16 00:00:00,2,3,321,Monday,November,Fall,9712
2025-11-03 00:00:00,12,13,307,Monday,November,Fall,14275
2023-05-28 00:00:00,22,23,148,Sunday,May,Spring,9225
2020-01-24 00:00:00,22,23,24,Friday,January,Winter,628
2022-02-04 00:00:00,5,6,35,Friday,February,Winter,6025
2020-01-02 00:00:00,18,19,2,Thursday,January,Winter,5346
2022-08-30 00:00:00,0,1,242,Tuesday,August,Summer,5425
2025-11-29 00:00:00,0,1,333,Saturday,November,Fall,5241
2025-05-14 00:00:00,10,11,134,Wednesday,May,Spring,7025
2024-12-25 00:00:00,2,3,360,Wednesday,December,Winter,1698
2024-09-16 00:00:00,11,12,260,Monday,September,Fall,8063
2020-06-13 00:00:00,2,3,165,Saturday,June,Summer,3116
2025-05-26 00:00:00,10,11,146,Monday,May,Spring,10578
2022-01-29 00:00:00,9,10,29,Saturday,January,Winter,8062
2021-08-29 00:00:00,7,8,241,Sunday,August,Summer,3373
2023-08-17 00:00:00,4,5,229,Thursday,August,Summer,2138
2021-11-01 00:00:00,16,17,305,Monday,November,Fall,6650
2025-04-27 00:00:00,13,14,117,Sunday,April,Spring,4171
2020-03-25 00:00:00,20,21,85,Wednesday,March,Spring,7278
2025-11-13 00:00:00,13,14,317,Thursday,November,Fall,10055
2022-10-29 00:00:00,9,10,302,Saturday,October,Fall,8680
2025-05-12 00:00:00,3,4,132,Monday,May,Spring,2071
2021-12-26 00:00:00,18,19,360,Sunday,December,Winter,2979
2022-11-27 00:00:00,5,6,331,Sunday,November,Fall,6949
2025-06-10 00:00:00,19,20,161,Tuesday,June,Summer,4337
2020-01-14 00:00:00,11,12,14,Tuesday,January,Winter,13956
2025-04-19 00:00:00,14,15,109,Saturday,April,Spring,4692
2022-10-16 00:00:00,4,5,289,Sunday,October,Fall,3203
2025-11-08 00:00:00,12,13,312,Saturday,November,Fall,5483
2023-06-03 00:00:00,0,1,154,Saturday,June,Summer,7045
2022-12-21 00:00:00,4,5,355,Wednesday,December,Winter,5289
2022-08-15 00:00:00,6,7,227,Monday,August,Summer,2354
2025-06-14 00:00:00,21,22,165,Saturday,June,Summer,2617
2021-11-11 00:00:00,19,20,315,Thursday,November,Fall,904
2024-04-02 00:00:00,19,20,93,Tuesday,April,Spring,9355
2024-12-03 00:00:00,0,1,338,Tuesday,December,Winter,6322
2021-08-18 00:00:00,10,11,230,Wednesday,August,Summer,4153
2022-02-18 00:00:00,0,1,49,Friday,February,Winter,6361
2020-06-15 00:00:00,9,10,167,Monday,June,Summer,3227
2020-06-06 00:00:00,3,4,158,Saturday,June,Summer,5774
2022-10-31 00:00:00,6,7,304,Monday,October,Fall,3071
2023-08-02 00:00:00,18,19,214,Wednesday,August,Summer,18182
2023-06-08 00:00:00,6,7,159,Thursday,June,Summer,4578
2024-04-21 00:00:00,15,16,112,Sunday,April,Spring,10808
2025-11-02 00:00:00,9,10,306,Sunday,November,Fall,11230
2023-01-11 00:00:00,22,23,11,Wednesday,January,Winter,15390
2020-03-19 00:00:00,11,12,79,Thursday,March,Spring,3951
2025-08-17 00:00:00,8,9,229,Sunday,August,Summer,6183
2020-08-07 00:00:00,6,7,220,Friday,August,Summer,2021
2025-11-22 00:00:00,9,10,326,Saturday,November,Fall,8243
2025-09-04 00:00:00,5,6,247,Thursday,September,Fall,6876
2020-07-22 00:00:00,10,11,204,Wednesday,July,Summer,2606
2021-04-26 00:00:00,3,4,116,Monday,April,Spring,9366
2021-08-19 00:00:00,4,5,231,Thursday,August,Summer,1485
2022-10-25 00:00:00,14,15,298,Tuesday,October,Fall,5213
2020-04-06 00:00:00,9,10,97,Monday,April,Spring,6188
2023-07-08 00:00:00,15,16,189,Saturday,July,Summer,8194
2020-05-10 00:00:00,10,11,131,Sunday,May,Spring,2276
2020-01-17 00:00:00,1,2,17,Friday,January,Winter,9434
2024-01-10 00:00:00,9,10,10,Wednesday,January,Winter,2524
2022-03-29 00:00:00,14,15,88,Tuesday,March,Spring,4278
2022-12-07 00:00:00,14,15,341,Wednesday,December,Winter,3789
2024-06-06 00:00:00,1,2,158,Thursday,June,Summer,1268
2020-01-30 00:00:00,6,7,30,Thursday,January,Winter,6684
2020-08-18 00:00:00,9,10,231,Tuesday,August,Summer,1797
2024-12-12 00:00:00,7,8,347,Thursday,December,Winter,3380
2022-04-04 00:00:00,23,0,94,Monday,April,Spring,8520
2025-10-13 00:00:00,4,5,286,Monday,October,Fall,6073
2024-06-18 00:00:00,4,5,170,Tuesday,June,Summer,2793
2022-05-10 00:00:00,6,7,130,Tuesday,May,Spring,2478
2023-04-26 00:00:00,15,16,116,Wednesday,April,Spring,4624
2021-06-16 00:00:00,2,3,167,Wednesday,June,Summer,1499
2021-09-03 00:00:00,6,7,246,Friday,September,Fall,2094
2025-04-07 00:00:00,3,4,97,Monday,April,Spring,6184
2020-07-21 00:00:00,8,9,203,Tuesday,July,Summer,3014
2022-05-12 00:00:00,10,11,132,Thursday,May,Spring,4025
2022-12-22 00:00:00,11,12,356,Thursday,December,Winter,13135
2024-10-08 00:00:00,22,23,282,Tuesday,October,Fall,13096
2021-06-13 00:00:00,5,6,164,Sunday,June,Summer,2592
2021-03-09 00:00:00,22,23,68,Tuesday,March,Spring,2083
2022-01-03 00:00:00,17,18,3,Monday,January,Winter,8634
2025-02-15 00:00:00,21,22,46,Saturday,February,Winter,5507
2021-12-03 00:00:00,13,14,337,Friday,December,Winter,13277
2021-05-07 00:00:00,8,9,127,Friday,May,Spring,3061
2025-06-27 00:00:00,2,3,178,Friday,June,Summer,3511
2020-02-01 00:00:00,11,12,32,Saturday,February,Winter,11252
2020-07-01 00:00:00,20,21,183,Wednesday,July,Summer,4054
2023-05-01 00:00:00,20,21,121,Monday,May,Spring,3856
2025-07-08 00:00:00,18,19,189,Tuesday,July,Summer,8997
2021-02-18 00:00:00,20,21,49,Thursday,February,Winter,6214
2022-11-28 00:00:00,13,14,332,Monday,November,Fall,5047
2021-07-01 00:00:00,17,18,182,Thursday,July,Summer,3901
2023-11-15 00:00:00,20,21,319,Wednesday,November,Fall,4554
2021-01-14 00:00:00,10,11,14,Thursday,January,Winter,8411
2020-05-27 00:00:00,11,12,148,Wednesday,May,Spring,5832
