Source,End_Hour,Start_Hour,Date,Production
Solar,12,11,4/26/2025,4018
Wind,19,18,1/21/2020,3303
Wind,20,19,11/2/2021,2311
Wind,2,1,7/29/2023,3618
Wind,9,8,5/21/2023,4686
Wind,19,18,2/7/2025,9119
Wind,12,11,7/25/2022,10186
Wind,17,16,10/16/2024,11196
Wind,19,18,1/11/2022,2621
Wind,3,2,4/19/2024,6475
Wind,0,23,7/28/2024,6281
Wind,19,18,4/5/2025,8043
Wind,21,20,1/4/2022,9372
Wind,5,4,7/6/2023,1028
Wind,0,23,3/22/2024,7326
Wind,10,9,1/16/2024,2207
Wind,21,20,5/8/2024,3372
Wind,20,19,1/26/2025,19633
Wind,8,7,7/20/2020,3155
Wind,2,1,3/2/2024,11147
Wind,14,13,5/17/2021,15419
Wind,5,4,9/22/2024,3577
Wind,4,3,7/18/2021,5140
Wind,16,15,3/20/2020,7700
Wind,0,23,4/14/2025,5469
Wind,8,7,2/19/2020,7659
Wind,5,4,11/21/2021,556
Wind,11,10,10/25/2023,10951
Wind,20,19,7/16/2023,5612
Solar,13,12,7/22/2020,3790
Wind,2,1,3/8/2024,10506
Wind,15,14,12/10/2020,3341
Wind,9,8,6/19/2022,7096
Wind,21,20,10/23/2024,5480
Wind,0,23,6/11/2024,2863
Wind,6,5,9/9/2021,1689
Wind,16,15,6/11/2020,5051
Wind,5,4,6/7/2024,1976
Wind,0,23,3/26/2024,8226
Wind,10,9,2/9/2022,4407
Wind,21,20,2/15/2025,5334
Wind,7,6,4/28/2021,857
Solar,12,11,8/27/2020,4553
Wind,8,7,10/1/2024,6398
Wind,1,0,5/21/2021,9704
Wind,23,22,12/5/2021,4707
Solar,15,14,8/1/2022,6729
Wind,0,23,9/18/2022,4648
Wind,5,4,1/14/2025,2738
Wind,10,9,1/4/2025,4819
Wind,21,20,8/23/2020,3074
Solar,12,11,12/11/2022,4059
Wind,3,2,7/5/2024,3591
Wind,11,10,7/12/2021,3055
Wind,19,18,12/4/2022,1267
Wind,16,15,9/29/2023,10069
Wind,11,10,10/6/2024,7982
Wind,21,20,2/27/2023,11622
Wind,8,7,6/6/2021,2047
Wind,18,17,4/6/2022,13616
Wind,15,14,1/29/2025,13601
Wind,22,21,10/30/2024,3374
Wind,19,18,6/14/2024,11508
Wind,20,19,2/5/2024,7217
Wind,3,2,11/16/2020,9712
Wind,13,12,11/3/2025,14275
Wind,23,22,5/28/2023,9225
Wind,23,22,1/24/2020,628
Wind,6,5,2/4/2022,6025
Wind,19,18,1/2/2020,5346
Wind,1,0,8/30/2022,5425
Wind,1,0,11/29/2025,5241
Solar,11,10,5/14/2025,7025
Wind,3,2,12/25/2024,1698
Solar,12,11,9/16/2024,8063
Wind,3,2,6/13/2020,3116
Solar,11,10,5/26/2025,10578
Wind,10,9,1/29/2022,8062
Wind,8,7,8/29/2021,3373
Wind,5,4,8/17/2023,2138
Wind,17,16,11/1/2021,6650
Solar,14,13,4/27/2025,4171
Wind,21,20,3/25/2020,7278
Wind,14,13,11/13/2025,10055
Wind,10,9,10/29/2022,8680
Wind,4,3,5/12/2025,2071
Wind,19,18,12/26/2021,2979
Wind,6,5,11/27/2022,6949
Wind,20,19,6/10/2025,4337
Wind,12,11,1/14/2020,13956
Wind,15,14,4/19/2025,4692
Wind,5,4,10/16/2022,3203
Solar,13,12,11/8/2025,5483
Wind,1,0,6/3/2023,7045
Wind,5,4,12/21/2022,5289
Wind,7,6,8/15/2022,2354
Wind,22,21,6/14/2025,2617
Wind,20,19,11/11/2021,904
Wind,20,19,4/2/2024,9355
Wind,1,0,12/3/2024,6322
Solar,11,10,8/18/2021,4153
Wind,1,0,2/18/2022,6361
Solar,10,9,6/15/2020,3227
Wind,4,3,6/6/2020,5774
Wind,7,6,10/31/2022,3071
Wind,19,18,8/2/2023,18182
Wind,7,6,6/8/2023,4578
Wind,16,15,4/21/2024,10808
Wind,10,9,11/2/2025,11230
Wind,23,22,1/11/2023,15390
Solar,12,11,3/19/2020,3951
Wind,9,8,8/17/2025,6183
Wind,7,6,8/7/2020,2021
Wind,10,9,11/22/2025,8243
Wind,6,5,9/4/2025,6876
Solar,11,10,7/22/2020,2606
Wind,4,3,4/26/2021,9366
Wind,5,4,8/19/2021,1485
Solar,15,14,10/25/2022,5213
Wind,10,9,4/6/2020,6188
Solar,16,15,7/8/2023,8194
Wind,11,10,5/10/2020,2276
Wind,2,1,1/17/2020,9434
Wind,10,9,1/10/2024,2524
Solar,15,14,3/29/2022,4278
Solar,15,14,12/7/2022,3789
Wind,2,1,6/6/2024,1268
Wind,7,6,1/30/2020,6684
Solar,10,9,8/18/2020,1797
Wind,8,7,12/12/2024,3380
Wind,0,23,4/4/2022,8520
Wind,5,4,10/13/2025,6073
Wind,5,4,6/18/2024,2793
Wind,7,6,5/10/2022,2478
Solar,16,15,4/26/2023,4624
Wind,3,2,6/16/2021,1499
Wind,7,6,9/3/2021,2094
Wind,4,3,4/7/2025,6184
Wind,9,8,7/21/2020,3014
Solar,11,10,5/12/2022,4025
Wind,12,11,12/22/2022,13135
Wind,23,22,10/8/2024,13096
Wind,6,5,6/13/2021,2592
Wind,23,22,3/9/2021,2083
Wind,18,17,1/3/2022,8634
Wind,22,21,2/15/2025,5507
Wind,14,13,12/3/2021,13277
Wind,9,8,5/7/2021,3061
Wind,3,2,6/27/2025,3511
Wind,12,11,2/1/2020,11252
Wind,21,20,7/1/2020,4054
Wind,21,20,5/1/2023,3856
Solar,19,18,7/8/2025,8997
Wind,21,20,2/18/2021,6214
Wind,14,13,11/28/2022,5047
Solar,18,17,7/1/2021,3901
Wind,21,20,11/15/2023,4554
Wind,11,10,1/14/2021,8411
Solar,12,11,5/27/2020,5832
Wind,22,21,4/16/2020,1491
Wind,17,16,6/29/2020,10010
Wind,7,6,4/2/2024,13175
Wind,2,1,5/8/2022,4285
Wind,16,15,12/29/2023,13922
Wind,4,3,3/15/2024,10445
Wind,7,6,6/7/2021,1268
Wind,18,17,3/31/2020,10262
Wind,2,1,9/13/2021,2586
Wind,15,14,1/16/2023,16385
Wind,21,20,2/1/2021,3405
Wind,6,5,9/13/2022,1654
Wind,16,15,7/29/2023,11966
Solar,17,16,8/9/2020,3364
Wind,2,1,9/23/2021,1404
Wind,10,9,3/18/2021,4597
Wind,1,0,1/13/2024,2503
Wind,7,6,6/27/2023,2239
Wind,1,0,12/15/2023,2968
Wind,20,19,6/12/2023,3168
Wind,7,6,12/14/2020,8437
Solar,14,13,5/4/2023,11275
Solar,12,11,1/6/2022,5010
Wind,7,6,5/5/2023,2188
Wind,20,19,3/24/2021,2191
Wind,6,5,11/6/2020,6584
Wind,1,0,10/13/2025,7395
Wind,23,22,4/9/2025,11401
Wind,4,3,6/13/2022,3888
Wind,1,0,12/6/2020,3896
Wind,0,23,12/26/2022,5200
Wind,19,18,7/7/2022,8067
Wind,17,16,9/27/2021,10010
Wind,19,18,1/29/2024,7099
Wind,22,21,3/25/2024,8820
Wind,10,9,12/27/2022,4677
Wind,19,18,12/3/2021,11102
